index,Cross Entropy,Accuracy
653,0.0490374,0.935777,6.92579
654,0.048984,0.935085,6.93453
655,0.0489308,0.93553,6.94327
656,0.0488776,0.937654,6.95201
657,0.0488245,0.936419,6.96076
658,0.0487716,0.938889,6.96949
659,0.0487187,0.936024,6.97824
660,0.0486659,0.935283,6.98697
661,0.0486133,0.938247,6.99572
662,0.048561,0.938741,7.00445
663,0.0485086,0.937803,7.01318
664,0.0484564,0.938445,7.02192
665,0.0484043,0.936568,7.03067
666,0.0483523,0.939334,7.0394
667,0.0483005,0.938544,7.04815
668,0.0482487,0.935777,7.0569
669,0.0481972,0.936617,7.06563
670,0.0481457,0.935728,7.07436
671,0.0480943,0.936518,7.0831
672,0.048043,0.935481,7.09183
673,0.0479918,0.936568,7.10056
674,0.0479407,0.939136,7.10929
675,0.0478898,0.937654,7.11804
676,0.047839,0.935085,7.12679
677,0.0477883,0.939334,7.13553
678,0.0477376,0.936518,7.14426
679,0.0476871,0.938297,7.153
680,0.0476369,0.936419,7.16173
681,0.0475867,0.935579,7.17047
682,0.0475365,0.937259,7.17921
683,0.0474865,0.938642,7.18794
684,0.0474367,0.939976,7.19671
685,0.0473869,0.93553,7.20545
686,0.0473372,0.937654,7.21418
687,0.0472876,0.936913,7.22292
688,0.047238,0.93716,7.23167
689,0.0471886,0.939482,7.24042
690,0.0471395,0.93805,7.24917
691,0.0470902,0.93716,7.25791
692,0.0470411,0.937309,7.26665
693,0.0469922,0.940223,7.27538
694,0.0469435,0.93884,7.28413
695,0.0468947,0.937111,7.29288
696,0.0468461,0.933011,7.30163
697,0.0467976,0.938247,7.31037
698,0.0467492,0.936815,7.31911
699,0.0467009,0.937901,7.32784
700,0.0466528,0.935678,7.33657
701,0.0466046,0.936222,7.3453
702,0.0465566,0.937803,7.35404
703,0.0465088,0.934937,7.3628
704,0.046461,0.93553,7.37154
705,0.0464133,0.938889,7.38029
706,0.0463658,0.937358,7.38902
707,0.0463183,0.938494,7.39777
708,0.046271,0.935629,7.40651
709,0.0462236,0.937506,7.41525
710,0.0461765,0.939383,7.42398
711,0.0461294,0.935826,7.43274
712,0.0460824,0.937506,7.44149
713,0.0460356,0.934344,7.45022
714,0.0459889,0.939136,7.45896
715,0.0459422,0.936617,7.46771
716,0.0458958,0.937901,7.47644
717,0.0458494,0.937358,7.48518
718,0.045803,0.938642,7.49391
719,0.0457566,0.937753,7.50266
720,0.0457105,0.937605,7.51139
721,0.0456644,0.937062,7.52014
722,0.0456185,0.940075,7.52888
723,0.0455727,0.937111,7.53761
724,0.0455269,0.940223,7.54636
725,0.0454813,0.935678,7.55509
726,0.0454357,0.939532,7.56382
727,0.0453903,0.93716,7.57257
728,0.0453449,0.938247,7.58171
729,0.0452995,0.944324,7.5918
730,0.0452543,0.939976,7.60173
731,0.0452093,0.940569,7.61116
732,0.0451643,0.936765,7.61991
733,0.0451195,0.934789,7.6287
734,0.0450747,0.937704,7.63744
735,0.0450299,0.938395,7.64618
736,0.0449852,0.937457,7.6549
737,0.0449406,0.937309,7.66379
738,0.0448961,0.93963,7.6726
739,0.0448518,0.937062,7.68138
740,0.0448076,0.939136,7.69012
741,0.0447634,0.937901,7.69887
742,0.0447194,0.936913,7.70761
743,0.0446754,0.938099,7.71636
744,0.0446315,0.938791,7.72511
745,0.0445877,0.936716,7.73385
746,0.0445439,0.939482,7.74258
747,0.0445004,0.939581,7.7513
748,0.0444569,0.938791,7.76004
749,0.0444135,0.936963,7.76876
750,0.0443701,0.936617,7.7775
751,0.0443268,0.938544,7.78625
752,0.0442836,0.938297,7.795
753,0.0442404,0.937654,7.80376
754,0.0441974,0.93721,7.8125
755,0.0441545,0.938346,7.82125
756,0.0441117,0.938148,7.82999
757,0.044069,0.936024,7.83875
758,0.0440263,0.937407,7.8475
759,0.0439839,0.945015,7.85785
760,0.0439414,0.943533,7.86915
761,0.043899,0.941854,7.88056
762,0.0438567,0.942693,7.89081
763,0.0438144,0.938692,7.89967
764,0.0437724,0.938692,7.90848
765,0.0437303,0.937407,7.91727
766,0.0436884,0.937111,7.92604
767,0.0436465,0.935678,7.93483
768,0.0436048,0.937457,7.94358
769,0.043563,0.937753,7.95232
770,0.0435214,0.937704,7.96108
771,0.0434799,0.939186,7.96982
772,0.0434384,0.93469,7.9786
773,0.0433971,0.939581,7.98737
774,0.0433558,0.940421,7.99613
775,0.0433146,0.93968,8.00487
776,0.0432734,0.936963,8.01361
777,0.0432324,0.937654,8.02235
778,0.0431915,0.938346,8.03112
779,0.0431507,0.936963,8.03985
780,0.0431099,0.938494,8.04859
781,0.0430692,0.938741,8.05734
782,0.0430286,0.935184,8.06609
783,0.0429881,0.938297,8.07484
784,0.0429476,0.939828,8.0836
785,0.0429073,0.935777,8.09235
786,0.0428671,0.939186,8.1011
787,0.0428268,0.938198,8.10983
788,0.0427867,0.937803,8.11857
789,0.0427466,0.942298,8.12734
