Accuracy,Loss
0.984883,0.0956033
0.984883,0.095591
0.984883,0.0955766
0.984883,0.0955644
0.984883,0.0955511
0.984932,0.0955373
0.984982,0.095527
0.984982,0.0955103
0.984982,0.095496
0.984932,0.0954829
0.984982,0.0954707
0.984982,0.0954583
0.984982,0.0954488
0.984982,0.0954344
0.985031,0.0954211
0.985081,0.0954087
0.985179,0.0953952
652140,677399,0.962712
0.985179,0.0953825
0.985179,0.0953726
0.985179,0.0953603
0.985179,0.0953454
0.985179,0.0953308
0.985278,0.0953188
0.985278,0.0953097
0.985328,0.0952954
0.985328,0.0952877
0.985328,0.0952752
0.985377,0.095263
0.985377,0.0952551
0.985377,0.0952403
0.985377,0.0952274
0.985426,0.0952174
0.985426,0.0952058
0.985426,0.095195
0.985426,0.0951819
0.985426,0.0951741
0.985426,0.0951631
0.985426,0.0951515
0.985426,0.0951423
0.985476,0.0951324
0.985525,0.0951242
0.985525,0.0951154
0.985525,0.0951034
0.985525,0.0950982
0.985525,0.0950847
0.985525,0.0950769
0.985624,0.0950672
0.985624,0.095057
0.985624,0.0950473
0.985624,0.0950427
0.985624,0.0950286
0.985624,0.095021
0.985723,0.0950095
0.985673,0.0950001
0.985723,0.0949895
0.985723,0.0949793
0.985723,0.0949701
652211,677399,0.962817
0.985822,0.094962
0.985871,0.094955
0.985871,0.0949436
0.98597,0.0949342
0.98592,0.0949273
0.98597,0.0949196
0.98597,0.0949103
0.986019,0.0949021
0.986069,0.0948933
0.986069,0.0948901
0.986118,0.0948787
0.986118,0.0948713
0.986167,0.0948624
0.986167,0.0948551
0.986167,0.0948481
0.986217,0.0948375
0.986167,0.0948322
0.986217,0.0948264
0.986266,0.0948164
0.986217,0.0948098
0.986217,0.0948031
0.986266,0.0947943
0.986266,0.0947861
0.986217,0.0947788
0.986266,0.0947726
0.986316,0.0947651
0.986316,0.0947579
0.986414,0.0947553
0.986414,0.0947463
0.986414,0.094742
0.986365,0.094733
0.986414,0.0947263
0.986414,0.0947203
0.986464,0.0947139
0.986513,0.094705
0.986513,0.0947001
0.986563,0.0946917
0.986612,0.0946883
0.986661,0.0946807
0.986711,0.0946733
652264,677399,0.962895
0.98676,0.0946693
0.98676,0.0946611
0.98676,0.0946548
0.98681,0.0946462
0.98681,0.0946407
0.98681,0.0946351
0.98681,0.0946283
0.98681,0.0946242
0.986908,0.0946205
0.986859,0.0946177
0.986908,0.0946102
0.986958,0.0946059
0.986908,0.0946017
0.986958,0.0945953
0.986958,0.0945919
0.986958,0.0945853
0.986908,0.0945793
0.986958,0.0945752
0.986958,0.0945717
0.986958,0.0945664
0.986958,0.0945597
0.987007,0.0945541
0.986958,0.0945479
0.986958,0.094541
0.987155,0.0945353
0.987155,0.0945303
0.987106,0.0945336
0.987205,0.0945248
0.987205,0.0945191
0.987205,0.0945173
0.987205,0.0945122
0.987254,0.0945081
0.987304,0.0945045
0.987304,0.0944987
0.987304,0.0944964
0.987254,0.0944938
0.987304,0.0944912
0.987353,0.0944831
0.987304,0.0944815
0.987353,0.0944769
652294,677399,0.962939
0.987304,0.0944747
0.987304,0.0944712
0.987304,0.0944665
0.987304,0.0944658
0.987304,0.0944637
0.987353,0.0944595
0.987304,0.0944593
0.987353,0.0944536
0.987402,0.0944509
0.987452,0.0944498
0.987452,0.0944452
0.987452,0.0944413
0.987402,0.0944383
0.987402,0.0944342
0.987452,0.0944339
0.987402,0.0944272
0.987402,0.0944298
0.987402,0.0944233
0.987452,0.0944217
0.987452,0.0944181
0.987452,0.0944139
0.987452,0.0944089
0.987452,0.0944078
0.987452,0.0944087
0.987452,0.0944047
0.987452,0.094402
0.987501,0.0943995
0.987501,0.0943988
0.987501,0.0943955
0.987501,0.0943952
0.987501,0.0943937
0.987501,0.0943917
0.987501,0.0943931
0.987551,0.0943884
0.987551,0.094389
0.987551,0.0943844
0.987551,0.0943867
0.987551,0.0943778
0.987649,0.0943766
0.987699,0.0943766
652344,677399,0.963013
0.987649,0.0943737
0.987699,0.094374
0.987699,0.0943699
0.987649,0.0943663
0.987748,0.0943648
0.987748,0.0943659
0.987748,0.0943614
0.987798,0.0943589
0.987748,0.0943581
0.987798,0.0943598
0.987847,0.094358
0.987847,0.0943556
0.987847,0.0943542
0.987847,0.0943525
0.987847,0.0943532
0.987847,0.0943492
0.987896,0.0943486
0.987896,0.0943459
0.987896,0.0943459
0.987946,0.0943463
0.987946,0.0943428
0.987995,0.0943438
0.987995,0.094344
0.987995,0.0943431
0.987995,0.0943425
0.988045,0.0943399
0.988045,0.0943416
0.988045,0.0943405
0.988094,0.0943387
0.988094,0.0943378
0.988094,0.0943389
0.988094,0.0943387
0.988094,0.0943375
0.988094,0.094338
0.988143,0.0943379
0.988143,0.0943375
0.988143,0.0943383
0.988143,0.0943408
0.988143,0.0943404
0.988143,0.094342
652332,677399,0.962995
