index,Cross Entropy,Accuracy
748,0.0444259,0.995653
749,0.0443825,0.995702
750,0.0443392,0.995751
751,0.0442959,0.995751
752,0.0442528,0.995751
753,0.0442098,0.995751
754,0.0441668,0.995751
755,0.0441239,0.995751
756,0.0440812,0.995751
757,0.0440385,0.995751
758,0.0439959,0.995751
759,0.0439533,0.995751
760,0.0439109,0.995801
761,0.0438686,0.995801
762,0.0438263,0.995801
763,0.0437841,0.995801
764,0.0437421,0.995801
765,0.0437001,0.995801
766,0.0436581,0.995801
767,0.0436163,0.995801
768,0.0435746,0.995801
769,0.0435329,0.995801
770,0.0434913,0.995801
771,0.0434498,0.995801
772,0.0434084,0.995949
773,0.0433671,0.995949
774,0.0433258,0.995949
775,0.0432847,0.995949
776,0.0432436,0.995949
777,0.0432026,0.995949
778,0.0431617,0.995949
779,0.0431209,0.995949
780,0.0430801,0.995998
781,0.0430395,0.996048
782,0.0429989,0.996048
783,0.0429584,0.996048
784,0.0429179,0.996097
785,0.0428776,0.996097
786,0.0428373,0.996097
787,0.0427971,0.996097
788,0.042757,0.996097
789,0.042717,0.996097
790,0.0426771,0.996097
791,0.0426372,0.996097
792,0.0425974,0.996097
793,0.0425577,0.996097
794,0.0425181,0.996097
795,0.0424785,0.996097
796,0.0424391,0.996147
797,0.0423997,0.996147
798,0.0423603,0.996196
799,0.0423211,0.996245
800,0.0422819,0.996245
801,0.0422428,0.996245
802,0.0422038,0.996245
803,0.0421649,0.996245
804,0.042126,0.996245
805,0.0420872,0.996295
806,0.0420485,0.996295
807,0.0420099,0.996295
808,0.0419713,0.996295
809,0.0419329,0.996295
810,0.0418944,0.996295
811,0.0418561,0.996295
812,0.0418179,0.996295
813,0.0417797,0.996295
814,0.0417416,0.996295
815,0.0417035,0.996295
816,0.0416656,0.996295
817,0.0416277,0.996295
818,0.0415898,0.996295
819,0.0415521,0.996295
820,0.0415144,0.996295
821,0.0414768,0.996295
822,0.0414393,0.996295
823,0.0414018,0.996295
824,0.0413644,0.996295
825,0.0413271,0.996295
826,0.0412899,0.996295
827,0.0412527,0.996295
828,0.0412156,0.996295
829,0.0411786,0.996295
830,0.0411416,0.996295
831,0.0411047,0.996295
832,0.0410679,0.996295
