index,Cross Entropy,Accuracy
0.963986,0.21968,144
0.964085,0.219392,145
0.964085,0.219107,146
0.964085,0.218818,147
0.964085,0.218529,148
0.964085,0.218241,149
0.964085,0.217959,150
0.964085,0.217678,151
0.964085,0.217398,152
0.964134,0.217118,153
0.964233,0.216838,154
0.964233,0.216559,155
0.964332,0.216284,156
0.964332,0.216011,157
0.964529,0.215739,158
0.964677,0.215466,159
0.964628,0.215195,160
0.964727,0.214926,161
0.964727,0.214661,162
0.964875,0.214396,163
0.964875,0.214132,164
0.964924,0.213863,165
0.964974,0.213602,166
0.964974,0.213341,167
0.965023,0.213087,168
0.965023,0.212827,169
0.964974,0.212568,170
0.965023,0.212309,171
0.965073,0.21205,172
0.965122,0.211799,173
0.965221,0.211546,174
0.96527,0.211294,175
0.96527,0.211045,176
0.96532,0.210795,177
0.965369,0.210544,178
0.965369,0.210296,179
0.965517,0.210051,180
0.965517,0.209806,181
0.965616,0.209566,182
0.965715,0.209323,183
0.965665,0.209084,184
0.965764,0.208848,185
0.965863,0.208609,186
0.965912,0.208373,187
0.965962,0.208138,188
0.966061,0.207905,189
0.966209,0.207669,190
0.966209,0.207437,191
0.966209,0.207201,192
0.966209,0.206972,193
0.966258,0.206739,194
0.966258,0.20651,195
0.966258,0.206281,196
0.966258,0.206052,197
0.966258,0.205823,198
0.966357,0.205595,199
0.966406,0.205365,200
0.966406,0.205141,201
0.966406,0.204917,202
0.966406,0.204693,203
0.966456,0.20447,204
0.966505,0.204247,205
0.966653,0.204028,206
0.966653,0.203811,207
0.966653,0.203596,208
0.966752,0.203377,209
0.966752,0.203157,210
0.966752,0.202942,211
0.966752,0.202731,212
0.966752,0.20252,213
0.966802,0.202306,214
0.966851,0.202094,215
0.966802,0.201879,216
0.966901,0.20167,217
0.966999,0.201462,218
0.967098,0.201253,219
0.967246,0.201045,220
0.967197,0.200841,221
0.967246,0.200637,222
0.967246,0.200431,223
0.967246,0.200227,224
0.967246,0.200025,225
0.967296,0.199821,226
0.967296,0.199621,227
0.967296,0.199422,228
0.967345,0.199219,229
0.967395,0.19902,230
0.967395,0.198821,231
0.967444,0.198626,232
0.967493,0.198428,233
0.967493,0.198231,234
0.967493,0.198035,235
0.967592,0.197838,236
0.967642,0.197642,237
0.96774,0.197448,238
0.96774,0.197252,239
0.967691,0.197061,240
0.967691,0.196869,241
0.967691,0.196679,242
0.967691,0.19649,243
0.96774,0.196301,244
0.96779,0.196109,245
0.96779,0.195923,246
0.96779,0.195735,247
0.96779,0.195546,248
0.967938,0.195358,249
0.968037,0.195174,250
0.968086,0.194988,251
0.968037,0.1948,252
0.968136,0.194616,253
0.968136,0.194431,254
0.968185,0.194249,255
0.968185,0.194067,256
0.968234,0.193887,257
0.968284,0.193707,258
0.968284,0.193527,259
0.968333,0.193349,260
0.968383,0.193169,261
0.968383,0.192988,262
0.968383,0.192809,263
0.968432,0.19263,264
0.968432,0.192453,265
0.968432,0.192276,266
0.968481,0.1921,267
0.968531,0.191926,268
0.96858,0.191753,269
0.968531,0.191579,270
0.96863,0.191408,271
0.96863,0.191232,272
0.96863,0.191061,273
0.968679,0.190891,274
0.96863,0.190721,275
0.968679,0.190547,276
0.968679,0.190377,277
0.968679,0.190207,278
0.968679,0.190036,279
0.968679,0.189868,280
0.968728,0.189697,281
0.968778,0.189528,282
0.968827,0.189363,283
0.968827,0.189198,284
0.968877,0.189036,285
0.968877,0.188869,286
0.968877,0.188704,287
0.969025,0.18854,288
0.969074,0.188376,289
0.968975,0.188214,290
0.968975,0.188054,291
0.968975,0.18789,292
0.969025,0.187728,293
0.969025,0.187565,294
0.969025,0.187406,295
0.969124,0.187244,296
0.969124,0.187084,297
0.969124,0.186923,298
0.969173,0.186763,299
0.969173,0.186605,300
0.969173,0.186446,301
0.969222,0.186288,302
0.969222,0.186132,303
0.969222,0.185975,304
0.969321,0.185819,305
0.969321,0.185662,306
0.969321,0.185506,307
0.969371,0.185349,308
0.969469,0.185197,309
0.969519,0.185041,310
0.969469,0.184887,311
0.969568,0.184734,312
0.969568,0.184581,313
0.969568,0.18443,314
0.969618,0.184278,315
0.969618,0.184126,316
0.969618,0.183973,317
